# Wave	Vel	NormFlux	NormErr	Flux	Error	Continuum
1320.1209	49076.64	0.9247	0.1154	4.7628e-15	5.9419e-16	5.1508e-15
1320.1508	49084.54	0.8571	0.1119	4.4131e-15	5.7611e-16	5.1491e-15
1320.1807	49092.45	0.9435	0.1159	4.8569e-15	5.9683e-16	5.1475e-15
1320.2107	49100.35	0.9177	0.1163	4.7222e-15	5.9827e-16	5.1458e-15
1320.2406	49108.25	0.9412	0.1158	4.8415e-15	5.9583e-16	5.1441e-15
1320.2705	49116.16	1.0379	0.1215	5.3373e-15	6.2502e-16	5.1425e-15
1320.3004	49124.06	1.0235	0.1223	5.2618e-15	6.2873e-16	5.1408e-15
1320.3303	49131.97	1.0151	0.1204	5.2166e-15	6.1860e-16	5.1392e-15
1320.3602	49139.87	0.8250	0.1087	4.2385e-15	5.5849e-16	5.1375e-15
1320.3901	49147.78	1.0693	0.1234	5.4918e-15	6.3364e-16	5.1358e-15
1320.4200	49155.68	1.1311	0.1279	5.8074e-15	6.5689e-16	5.1342e-15
1320.4499	49163.58	1.0462	0.1230	5.3694e-15	6.3110e-16	5.1325e-15
1320.4798	49171.49	0.9302	0.1160	4.7725e-15	5.9508e-16	5.1309e-15
1320.5098	49179.39	1.0651	0.1242	5.4633e-15	6.3703e-16	5.1292e-15
1320.5397	49187.30	0.8923	0.1135	4.5751e-15	5.8177e-16	5.1275e-15
1320.5696	49195.20	0.9200	0.1150	4.7158e-15	5.8970e-16	5.1259e-15
1320.5995	49203.11	0.8347	0.1100	4.2772e-15	5.6353e-16	5.1242e-15
